0,1,2,4,4,3,2,2,1,3,1,11,2,2,1,2,2,3,4,2,1,3,3,3,1,3,2,2,7,1
1,0,2,3,4,2,2,1,1,2,1,9,1,2,1,1,1,2,4,2,0,2,2,2,2,3,1,1,5,0
2,2,0,4,7,3,4,3,1,2,2,10,2,2,3,2,2,3,5,2,1,3,3,3,3,4,2,2,7,2
4,3,4,0,4,3,6,3,2,3,3,14,5,3,2,4,3,4,5,2,2,3,4,3,4,3,3,2,3,3
4,4,7,4,0,7,6,5,4,5,4,20,6,2,3,5,5,9,11,2,4,5,7,5,8,7,5,5,6,4
3,2,3,3,7,0,3,2,2,2,1,7,4,3,3,4,1,1,2,3,2,3,3,2,1,2,3,2,5,2
2,2,4,6,6,3,0,3,3,5,1,9,3,4,3,4,4,3,5,4,2,4,4,3,4,5,3,3,7,1
2,1,3,3,5,2,3,0,2,2,1,9,3,3,2,3,2,1,4,3,1,2,2,3,2,3,3,0,5,1
1,1,1,2,4,2,3,2,0,1,1,9,2,1,1,1,1,3,4,2,1,2,2,1,2,3,1,2,4,1
3,2,2,3,5,2,5,2,1,0,2,9,3,2,3,3,3,2,5,2,2,3,4,2,3,3,3,2,4,2
1,1,2,3,4,1,1,1,1,2,0,8,2,2,1,2,1,2,4,2,1,2,2,2,2,2,2,1,5,0
11,9,10,14,20,7,9,9,9,9,8,0,4,12,14,16,10,7,9,14,9,11,11,8,9,9,13,10,12,8
2,1,2,5,6,4,3,3,2,3,2,4,0,2,2,2,3,3,5,3,1,3,3,3,3,5,2,2,6,1
2,2,2,3,2,3,4,3,1,2,2,12,2,0,2,2,2,4,5,1,1,2,4,2,4,4,2,3,5,1
1,1,3,2,3,3,3,2,1,3,1,14,2,2,0,2,2,4,5,1,1,2,3,3,3,3,2,2,5,1
2,1,2,4,5,4,4,3,1,3,2,16,2,2,2,0,2,5,6,2,1,3,3,3,4,5,1,2,6,1
2,1,2,3,5,1,4,2,1,3,1,10,3,2,2,2,0,3,4,2,1,2,1,3,2,2,1,1,6,1
3,2,3,4,9,1,3,1,3,2,2,7,3,4,4,5,3,0,2,5,2,4,3,3,1,3,3,1,6,2
4,4,5,5,11,2,5,4,4,5,4,9,5,5,5,6,4,2,0,6,4,5,4,5,2,3,5,4,8,4
2,2,2,2,2,3,4,3,2,2,2,14,3,1,1,2,2,5,6,0,2,3,3,3,4,4,2,2,6,1
1,0,1,2,4,2,2,1,1,2,1,9,1,1,1,1,1,2,4,2,0,2,2,2,1,3,1,1,5,0
3,2,3,3,5,3,4,2,2,3,2,11,3,2,2,3,2,4,5,3,2,0,4,3,3,3,2,2,4,2
3,2,3,4,7,3,4,2,2,4,2,11,3,4,3,3,1,3,4,3,2,4,0,4,3,2,2,2,6,2
3,2,3,3,5,2,3,3,1,2,2,8,3,2,3,3,3,3,5,3,2,3,4,0,4,4,3,2,4,2
1,2,3,4,8,1,4,2,2,3,2,9,3,4,3,4,2,1,2,4,1,3,3,4,0,3,3,2,6,2
3,3,4,3,7,2,5,3,3,3,2,9,5,4,3,5,2,3,3,4,3,3,2,4,3,0,4,3,6,3
2,1,2,3,5,3,3,3,1,3,2,13,2,2,2,1,1,3,5,2,1,2,2,3,3,4,0,2,5,1
2,1,2,2,5,2,3,0,2,2,1,10,2,3,2,2,1,1,4,2,1,2,2,2,2,3,2,0,6,1
7,5,7,3,6,5,7,5,4,4,5,12,6,5,5,6,6,6,8,6,5,4,6,4,6,6,5,6,0,5
1,0,2,3,4,2,1,1,1,2,0,8,1,1,1,1,1,2,4,1,0,2,2,2,2,3,1,1,5,0
